dataset,attn_type,rpe_type,epochs_total,epoch,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
cifar10,full,none,20,6,0.001,128,1.319599638,0.52284,14.20481634,1.350667889,0.5096,1.539761305
cifar10,full,none,20,7,0.001,128,1.284443073,0.5356,14.21161509,1.349052731,0.5159,1.581352949
cifar10,full,none,20,8,0.001,128,1.252736833,0.54526,13.98882413,1.344204845,0.5192,1.515681982
cifar10,full,none,20,9,0.001,128,1.240103616,0.54934,14.54841089,1.296538412,0.5294,2.023631811
cifar10,full,none,20,10,0.001,128,1.206482322,0.5621,14.12691903,1.268741079,0.5447,1.52078557
cifar10,full,none,20,11,0.001,128,1.188821553,0.5694,14.2526176,1.262023453,0.5406,1.558431149
cifar10,full,none,20,12,0.001,128,1.16788278,0.5771,14.10271764,1.253327603,0.5485,1.555752754
cifar10,full,none,20,13,0.001,128,1.149556224,0.58516,14.24925637,1.245708557,0.5497,2.15405345
cifar10,full,none,20,14,0.001,128,1.129447573,0.58856,14.03411365,1.220784359,0.5623,1.605527878
cifar10,full,none,20,15,0.001,128,1.110063495,0.599,14.26873446,1.242721831,0.5572,1.555806637
cifar10,full,none,20,16,0.001,128,1.092127354,0.60346,14.07566524,1.22944017,0.559,1.62703371
cifar10,full,none,20,17,0.001,128,1.068317801,0.6126,14.33591723,1.250493834,0.5531,2.223906994
cifar10,full,none,20,18,0.001,128,1.056712491,0.61826,14.08872342,1.210855217,0.5693,1.560023308
cifar10,full,none,20,19,0.001,128,1.031005691,0.62688,14.01318979,1.224918431,0.5691,1.574992418
cifar10,full,none,20,20,0.001,128,1.011178468,0.63206,13.89195442,1.21382778,0.5693,1.573431492
cifar10,favor+,none,20,1,0.001,128,1.844788518,0.30508,18.83403492,1.647232274,0.381,1.851133585
cifar10,favor+,none,20,2,0.001,128,1.624397596,0.39676,17.51858187,1.573373797,0.416,1.860912085
cifar10,favor+,none,20,3,0.001,128,1.520887626,0.43942,16.92600155,1.511344759,0.4423,1.828156948
cifar10,favor+,none,20,4,0.001,128,1.444525564,0.47516,17.41744232,1.434854614,0.4851,1.867413044
cifar10,favor+,none,20,5,0.001,128,1.385275175,0.49826,16.84957457,1.383411446,0.5037,1.822021961
cifar10,favor+,none,20,6,0.001,128,1.341335597,0.51486,17.08305216,1.371363856,0.504,2.044533491
cifar10,favor+,none,20,7,0.001,128,1.313516032,0.5244,16.5838387,1.321081976,0.5256,1.82279706
cifar10,favor+,none,20,8,0.001,128,1.278665705,0.53814,16.9151597,1.370704899,0.5054,2.323367357
cifar10,favor+,none,20,9,0.001,128,1.247835578,0.54886,16.66228914,1.31314568,0.5341,1.811661005
cifar10,favor+,none,20,10,0.001,128,1.232073075,0.55458,16.57538366,1.29315569,0.5329,2.344291687
cifar10,favor+,none,20,11,0.001,128,1.20475491,0.5662,17.0515306,1.259721811,0.5501,1.861955881
cifar10,favor+,none,20,12,0.001,128,1.180717817,0.57456,16.90696788,1.276589032,0.544,2.272644997
cifar10,favor+,none,20,13,0.001,128,1.156419578,0.58364,17.13132453,1.244892353,0.5498,1.804238558
cifar10,favor+,none,20,14,0.001,128,1.140014952,0.58798,16.77070403,1.231277379,0.5578,2.18666172
cifar10,favor+,none,20,15,0.001,128,1.125773936,0.59272,17.23844314,1.219839529,0.5696,1.839926481
cifar10,favor+,none,20,16,0.001,128,1.101438483,0.60216,16.9078567,1.233484887,0.5638,2.077807665
cifar10,favor+,none,20,17,0.001,128,1.086347044,0.60744,17.37115145,1.224390307,0.5694,1.835459948
cifar10,favor+,none,20,18,0.001,128,1.060830189,0.61672,16.8215785,1.233831665,0.5628,2.014575005
cifar10,favor+,none,20,19,0.001,128,1.046253035,0.6218,17.14014459,1.212640537,0.5721,1.801816463
cifar10,favor+,none,20,20,0.001,128,1.025174267,0.63,16.70275998,1.219886076,0.5709,1.859096289
cifar10,favor+,rope,20,1,0.001,128,1.757449811,0.34964,17.73351717,1.594924525,0.4309,1.945863485
cifar10,favor+,rope,20,2,0.001,128,1.488645712,0.45884,17.93108916,1.452136071,0.4752,2.163246632
cifar10,favor+,rope,20,3,0.001,128,1.378517243,0.49972,17.56902194,1.341967872,0.5161,1.882542372
cifar10,favor+,rope,20,4,0.001,128,1.303195559,0.53018,18.15045714,1.290094769,0.5377,1.88165164
