dataset,attn_type,rpe_type,epochs_total,epoch,lr,batch_size,train_loss,train_acc,train_time_sec,test_loss,test_acc,eval_time_sec
cifar10,favor+,rope,60,1,0.001,128,1.7616607989883424,0.34822,18.61151623725891,1.5459064682006836,0.436,2.356314182281494
cifar10,favor+,rope,60,2,0.001,128,1.5083909182357789,0.44962,18.118077516555786,1.417248522567749,0.4897,1.9115149974822998
cifar10,favor+,rope,60,3,0.001,128,1.4251997066879272,0.4819,18.914735794067383,1.3807883792877198,0.4993,1.8866422176361084
cifar10,favor+,rope,60,4,0.001,128,1.3712073637771607,0.50502,18.00881862640381,1.3462739610671997,0.5136,1.8982954025268555
cifar10,favor+,rope,60,5,0.001,128,1.3258037921905517,0.5202,18.932909727096558,1.298302162361145,0.5333,1.8905346393585205
cifar10,favor+,rope,60,6,0.001,128,1.2918164751434327,0.53522,18.215331315994263,1.265126152420044,0.541,2.5328707695007324
cifar10,favor+,rope,60,7,0.001,128,1.2570073426818849,0.54618,18.22221064567566,1.2244207736968995,0.5595,1.924098253250122
cifar10,favor+,rope,60,8,0.001,128,1.2283515938949585,0.5567,19.115484952926636,1.2057105346679688,0.5674,1.9373250007629395
cifar10,favor+,rope,60,9,0.001,128,1.2068922351455689,0.56448,18.125033855438232,1.20668171749115,0.5626,1.9193122386932373
cifar10,favor+,rope,60,10,0.001,128,1.1761209744644165,0.5765,18.81356906890869,1.1873078107833863,0.5713,1.9118921756744385
cifar10,favor+,rope,60,11,0.001,128,1.1560501685905455,0.58502,18.066970586776733,1.1724818904876708,0.5733,2.523876428604126
cifar10,favor+,rope,60,12,0.001,128,1.1350742854690552,0.59128,18.229841232299805,1.153185956954956,0.5883,1.9283711910247803
cifar10,favor+,rope,60,13,0.001,128,1.1186517883300782,0.59598,18.70577073097229,1.143910419845581,0.5835,1.8869373798370361
cifar10,favor+,rope,60,14,0.001,128,1.1000756435012817,0.6055,17.966644287109375,1.1338857149124146,0.5916,1.8807051181793213
cifar10,favor+,rope,60,15,0.001,128,1.0791654315185546,0.6121,18.707362174987793,1.1249818801879883,0.5942,1.8739304542541504
cifar10,favor+,rope,60,16,0.001,128,1.0601786995697022,0.61932,17.96198058128357,1.131438718891144,0.5959,2.1726560592651367
cifar10,favor+,rope,60,17,0.001,128,1.0463385245895385,0.6241,18.424665927886963,1.10506950340271,0.6082,1.9191646575927734
cifar10,favor+,rope,60,18,0.001,128,1.0348744749069214,0.6301,18.31984782218933,1.0875494713783265,0.6066,2.287012815475464
cifar10,favor+,rope,60,19,0.001,128,1.0145094884490966,0.63502,18.04718852043152,1.0846828767776489,0.6163,1.9385986328125
cifar10,favor+,rope,60,20,0.001,128,1.001621898841858,0.64096,18.808353662490845,1.074166526031494,0.6177,1.9176430702209473
cifar10,favor+,rope,60,21,0.001,128,0.9826281457328796,0.64804,17.923802852630615,1.0679730672836303,0.62,1.9503815174102783
cifar10,favor+,rope,60,22,0.001,128,0.9706140522384643,0.65174,18.66300082206726,1.0630758796691895,0.6218,1.8993237018585205
cifar10,favor+,rope,60,23,0.001,128,0.95493517993927,0.65744,18.04598593711853,1.0407055919647217,0.6282,2.5622425079345703
cifar10,favor+,rope,60,24,0.001,128,0.944756153793335,0.6612,18.053864002227783,1.0301932826042175,0.6333,1.8923218250274658
cifar10,favor+,rope,60,25,0.001,128,0.9283238803100586,0.66714,18.743632555007935,1.043071211719513,0.6328,1.8911330699920654
cifar10,favor+,rope,60,26,0.001,128,0.9154670839309692,0.67328,17.904902458190918,1.0566417231559753,0.6291,1.9247615337371826
cifar10,favor+,rope,60,27,0.001,128,0.9020150314712524,0.67496,18.63313865661621,1.0270965044021607,0.6417,1.886061429977417
cifar10,favor+,rope,60,28,0.001,128,0.8887903070259094,0.68296,17.93135643005371,1.0161170630455016,0.6427,2.293426752090454
cifar10,favor+,rope,60,29,0.001,128,0.8687290239715576,0.68896,18.251335859298706,1.0162785894393922,0.6441,1.8952019214630127
cifar10,favor+,rope,60,30,0.001,128,0.8600600949287415,0.6918,18.212687015533447,1.001005722427368,0.6524,2.2568001747131348
cifar10,favor+,rope,60,31,0.001,128,0.8474382325744629,0.6953,17.8433039188385,1.0129119352340699,0.6525,1.8659796714782715
cifar10,favor+,rope,60,32,0.001,128,0.8414785232734681,0.70072,18.609885454177856,0.9990825744628906,0.6543,1.9115536212921143
cifar10,favor+,rope,60,33,0.001,128,0.8193443050003052,0.70588,17.82158899307251,0.9912945909500122,0.6554,1.897825002670288
cifar10,favor+,rope,60,34,0.001,128,0.8164098877143859,0.70856,18.59392786026001,0.9983596548080444,0.6589,1.9004693031311035
cifar10,favor+,rope,60,35,0.001,128,0.8019528231620788,0.71368,17.859144926071167,0.9930044114112854,0.6577,2.384244918823242
cifar10,favor+,rope,60,36,0.001,128,0.7856856705093384,0.71876,18.053058624267578,0.9878145852088929,0.6549,1.8902690410614014
cifar10,favor+,rope,60,37,0.001,128,0.7809360567283631,0.7205,18.39857244491577,0.9835047258377075,0.6599,2.1638095378875732
cifar10,favor+,rope,60,38,0.001,128,0.7665753849029541,0.72452,17.903416872024536,0.975500654411316,0.6651,1.90932297706604
cifar10,favor+,rope,60,39,0.001,128,0.7617493717956543,0.72728,18.602944374084473,0.9922359066009522,0.6609,1.9142403602600098
cifar10,favor+,rope,60,40,0.001,128,0.7491220174789429,0.72962,17.902271032333374,0.9945759929656982,0.6614,1.9352014064788818
cifar10,favor+,rope,60,41,0.001,128,0.7384973388290406,0.73554,18.564131021499634,0.9861203016281128,0.6646,1.9275810718536377
cifar10,favor+,rope,60,42,0.001,128,0.730045739440918,0.7371,17.83893132209778,0.9847367315292358,0.6673,2.4829843044281006
cifar10,favor+,rope,60,43,0.001,128,0.7219394413948059,0.74148,17.99711322784424,0.956932173538208,0.6778,1.8737146854400635
cifar10,favor+,rope,60,44,0.001,128,0.7120882985305786,0.74396,18.45476007461548,0.98009098072052,0.6697,2.0623486042022705
cifar10,favor+,rope,60,45,0.001,128,0.7006396367073059,0.74896,17.834645748138428,0.9858526741027832,0.6735,1.8728160858154297
